"IITB Campus Placement",,,,,,
"Conducted on:",,,"3 Dec 2014",,,
"Sno","Math","CS","GK","Prog","Comm","Sel"
1,"NA","NA","NA",4,0,0
2,"NA","NA","NA",4,"NA",0
3,"NA","NA",0,3,"NA",0
4,0,"NA","NA",4,"NA",1
5,0,"NA","NA",2,"NA",0
6,"NA","NA","NA",0,"NA",0
7,"NA","NA","NA",0,"NA",0
8,0,"NA","NA",0,0,0
9,"NA","NA","NA",3,"NA",0
10,"NA","NA","NA",0,0,0
11,"NA",1,0,"NA",0,0
12,"NA","NA",-1,"NA","NA",0
13,"NA",0,"NA","NA","NA",0
14,0,"NA","NA",2,"NA",0
15,"NA",-1,"NA",2.5,"NA",0
16,"NA",0,0,"NA",0,0
17,0,5,0,"NA",0,0
18,2,"NA","NA",4,0,0
19,0,"NA","NA",2,"NA",0
20,"NA",0,0,0,"NA",0
21,0,"NA","NA",1,"NA",0
22,"NA","NA",-1,"NA","NA",0
23,0,"NA","NA",1,0,0
24,"NA","NA","NA","NA","NA",0
25,0,3,0,2,-1,0
26,"NA","NA","NA",4,"NA",1
27,"NA","NA","NA","NA","NA",0
28,"NA",0,0,"NA","NA",0
29,5,5,0,"NA","NA",0
30,0,"NA","NA",3,"NA",0
31,"NA","NA","NA","NA",0,0
32,-1,"NA","NA",3,0,0
33,"NA","NA","NA",1,"NA",0
34,"NA","NA","NA",4,"NA",0
35,-1,"NA","NA",2,"NA",0
36,"NA","NA","NA","NA","NA",0
37,"NA","NA","NA",2,0,0
38,"NA","NA",0,1,-1,0
39,"NA","NA","NA",4,0,0
40,"NA","NA",-1,4,"NA",0
41,0,0,0,1,"NA",0
42,"NA","NA",0,1,"NA",0
43,0,1,0,"NA","NA",0
44,"NA","NA","NA",2,"NA",0
45,0,0,0,0.5,0,0
46,0,"NA","NA",0,0,0
47,0,0,0,0,"NA",0
48,0,0,0,"NA","NA",0
49,0,"NA",0,"NA","NA",0
50,0,"NA",0,0,0,0
51,"NA","NA","NA",1,0,0
52,"NA",1,"NA","NA","NA",0
53,"NA","NA","NA","NA","NA",0
54,"NA","NA","NA",1,0,0
55,"NA","NA","NA","NA","NA",0
56,0,"NA","NA",4,"NA",0
57,"NA","NA","NA",1,"NA",0
58,"NA","NA","NA",3,0,0
59,0,-1,"NA",5,"NA",1
60,"NA","NA","NA",1,"NA",0
61,"NA","NA","NA","NA","NA",0
62,0,"NA","NA","NA","NA",0
63,"NA","NA","NA","NA",-1,0
64,0,"NA",-1,"NA",0,0
65,0,"NA",0,0,0,0
66,0,0,0,"NA","NA",0
67,"NA",-1,"NA",-1,0,0
68,0,0,0,3,"NA",0
69,"NA",0,0,"NA","NA",0
70,0,"NA","NA",1,0,0
71,0,"NA","NA",1,"NA",0
72,5,"NA","NA",5,-1,1
73,"NA","NA","NA",2,"NA",0
74,0,"NA",0,0,"NA",0
75,"NA","NA",-1,"NA",0,0
76,0,"NA","NA",1,0,0
77,0,"NA","NA","NA","NA",1
78,"NA","NA","NA",5,"NA",1
79,"NA","NA",0,3,0,0
80,0,"NA","NA",4,"NA",0
81,"NA","NA","NA",2,"NA",0
82,"NA",-1,0,"NA",-1,0
83,"NA","NA","NA",1,0,0
84,"NA","NA","NA","NA",0,0
85,"NA",0,0,"NA","NA",0
86,0,"NA","NA",1,0,0
87,5,"NA",0,"NA",0,0
88,"NA",0,0,"NA","NA",0
89,"NA",-1,0,"NA",0,0
90,"NA","NA","NA",4,"NA",0
91,0,0,0,"NA",0,0
92,0,"NA","NA",3,"NA",0
93,"NA","NA","NA","NA","NA",0
94,3,"NA","NA",4,0,0
95,0,0,0,0,0,0
96,"NA",0,0,1,"NA",0
97,0,0,"NA","NA",0,0
98,0,0,0,"NA","NA",0
99,0,"NA","NA",1,0,0
100,"NA","NA",0,"NA",0,0
101,"NA",0,"NA","NA","NA",0
102,"NA","NA","NA","NA","NA",0
103,0,"NA","NA","NA","NA",0
104,"NA","NA","NA",2,0,0
105,0,0,0,"NA",0,0
106,0,"NA","NA",1,"NA",0
107,2,"NA",0,1,"NA",0
108,"NA","NA","NA",1,0,0
109,"NA","NA","NA",3,"NA",0
110,0,"NA","NA","NA","NA",0
111,0,0,0,1,"NA",0
112,"NA","NA","NA",1,"NA",0
113,"NA","NA","NA","NA","NA",0
114,5,"NA","NA","NA",0,0
115,0,"NA","NA",2,"NA",0
116,0,"NA","NA",2,"NA",0
117,"NA","NA","NA","NA","NA",0
118,"NA","NA","NA",2,"NA",0
119,0,"NA","NA",1,"NA",0
120,"NA","NA","NA",3,"NA",0
121,"NA","NA","NA","NA","NA",0
122,"NA","NA","NA",3,"NA",0
123,0,"NA",0,"NA","NA",0
124,0,0,0,"NA","NA",0
125,"NA","NA",0,"NA","NA",0
126,"NA","NA","NA","NA","NA",0
